,0,1,2,3
0,"[(39.861246612466125, 1.5744669919940162), (79.72249322493225, 0.730368330687306), (112.41626016260163, 0.24129599042848626)]","[(39.777998017839444, 0.5667963766679287), (112.55104063429137, 0.23580319254078339), (79.67096134786918, 0.18573921150820805)]","[(39.77142857142857, 1.6652784187473009), (33.0177897574124, 0.28600961808258263), (72.78921832884097, 0.27017802422806586), (112.56064690026955, 0.250931659397066)]","[(39.684210526315795, 0.48136541587408216), (79.49561403508773, 0.2175581270623443), (112.8201754385965, 0.16932640611552263)]"
1,"[(39.767995857068875, 1.5828758828651897), (79.53599171413775, 0.7770806082498649), (112.69601242879337, 0.2951544802777445)]","[(39.812472357364, 0.5343240613861096), (112.66519239274659, 0.21591338898837045), (79.52233524988944, 0.20222655781018795), (33.142857142857146, 0.08890457956880321)]","[(39.71583621114948, 1.7878482421323223), (112.85249136655155, 0.2873852773958549)]","[(39.67721228794131, 0.47138952621493524), (79.24805135259055, 0.21546535809066134), (113.07473635946813, 0.16325919214699686)]"
2,"[(39.78378378378379, 1.634893722376388), (79.56756756756758, 0.7524048838834543), (112.64864864864866, 0.2854070186556838)]","[(39.733683749452474, 0.5516468815410402), (112.69732807709156, 0.21693359231817694), (79.56898817345599, 0.18960982101689658), (33.12833990363557, 0.08286456618459402)]","[(39.762039660056665, 1.7643217604692258), (112.71388101983004, 0.30222008584880483), (72.95184135977338, 0.27960967020611815)]","[(39.658119658119666, 0.48938323675362544), (79.31623931623933, 0.2283088141739889), (112.92127755285651, 0.15722945268015828)]"
3,"[(40.56963350785341, 1.698703138180924), (81.2607329842932, 0.7592036595189937), (110.16963350785342, 0.5431658287620785)]","[(81.2267898383372, 0.391358112614734), (40.6133949191686, 0.38979869197162875), (28.93302540415705, 0.13071932615434487), (69.54642032332565, 0.10986147964431554), (11.680369515011549, 0.10858085998338093), (110.15981524249425, 0.05992287545187092)]","[(40.563674321503136, 2.395537716341856), (29.060542797494783, 0.36839435487745975)]","[(40.56892352654652, 0.9139470453686336), (110.40623477837312, 0.21247037169444288), (81.02484169508037, 0.14820781385403298)]"
4,"[(40.726534753932015, 1.8981385553703904), (81.45306950786403, 0.7671378097421447), (109.82039573820397, 0.5623296913136171)]","[(40.75497441728255, 0.41469268592347247), (81.37805571347357, 0.37160456446480056), (28.357021034678798, 0.12474285189453989), (69.11199545196135, 0.10783540803427161), (12.266060261512223, 0.10202905978842565), (109.86696986924389, 0.07746449815110971)]","[(40.65852363250133, 2.4479660086604316)]","[(40.65014409221902, 1.0594934521896833), (110.18328530259367, 0.24073277397045)]"
5,"[(40.78998073217726, 1.7967454969098489), (81.57996146435453, 0.6272829879067101), (109.74181117533718, 0.3994418949846903)]","[(81.50767798976268, 0.4228932240975751), (40.69986040018614, 0.39451674792684527), (28.284783620288508, 0.13052335218918043), (68.98464402047465, 0.10356750051795435), (12.523033969288042, 0.09142762593246985), (109.79246161005119, 0.07839907796287995)]","[(40.73450070989115, 2.4337896322101535)]","[(40.67600542250339, 1.0510862292360383), (110.07681879801174, 0.2518291627309196), (81.24717577948486, 0.16397801641832954)]"
6,"[(40.60299432111513, 1.1468023858288507), (81.32576148683532, 0.7388714291761159), (110.07124419204958, 0.3300101178016202), (69.34847702632938, 0.17939447958474072)]","[(40.69598108747045, 0.7175315724912817), (81.2822695035461, 0.4683500257290681)]","[(40.613583138173304, 2.311109069755245)]","[(40.55047714716223, 0.8989104165012995), (81.10095429432447, 0.2890551842879618), (110.34856855851332, 0.16354894231586925)]"
7,"[(40.616430594900855, 1.2214692160756861), (81.36430594900851, 0.7201389838896798), (110.01926345609066, 0.34493787556077093)]","[(40.67976424361493, 0.8094056000493677), (81.35952848722987, 0.5025529787805251)]","[(40.60632497273719, 2.195670585632481), (81.21264994547438, 0.33984457310848)]","[(40.519701810436636, 0.8816623778112977), (81.1629392971246, 0.28999067912806986), (110.31735889243876, 0.18474220163163318)]"
8,"[(40.69248291571754, 1.3392261025628043), (81.38496583143508, 0.7525287594063604), (109.92255125284738, 0.3106685778938252), (69.09794988610479, 0.20293868287453046)]","[(40.67618503712165, 0.7737219713597403), (81.48486579097658, 0.4477462923923734), (109.83894917190177, 0.12879379858449325)]","[(40.71121441022662, 2.030983161063675), (81.287623474724, 0.430397967908928)]","[(40.62308129619102, 1.0013071437098013), (81.24616259238203, 0.29777150731054863), (110.26264923251848, 0.18641172034007822)]"
